,Genes
558,COL5A1
559,S100A16
560,GPBP1
561,LUC7L
562,M6PR
563,ATP5F1E
564,MIDN
565,ECH1
566,MBTPS1
567,MPRIP
568,PEA15
569,MTDH
570,EFR3A
571,ARHGAP18
572,JMJD1C
573,CLIC1
574,CNDP2
575,TMED7
576,IFT57
577,SFTPD
578,ALDH1A1
579,TYROBP
580,ERBIN
581,ALDH3A2
582,IL1R1
583,ATP5MC2
584,SEC11A
585,COX7C
586,KDM2A
587,CTSC
588,SLC25A6
589,KRT19
590,FIS1
591,ITM2C
592,PDCD4
593,PPP1CB
594,PLPP3
595,USP25
596,NCL
597,PRKACA
598,EEF1B2
599,INF2
600,C1orf198
601,LAPTM4B
602,IFNGR2
603,DAP
604,SPTBN1
605,NR3C1
606,OPTN
607,PFKFB3
608,DPYD
609,RNF149
610,PICALM
611,NEDD9
612,CHTOP
613,BNIP3L
614,SCAF11
615,RNF19A
616,APOL6
617,WDR83OS
618,STAU1
619,JUP
620,TBL1XR1
621,LRRK2
622,PPT1
623,SELENBP1
624,RNF7
625,NME2
626,COPG1
627,ATP6V1B2
628,ADIPOR1
629,OSMR
630,HMGN3
631,CDC42SE1
632,SLFN5
633,FAM107B
634,ATP2A2
635,LIMCH1
636,HBS1L
637,TUT7
638,CDK5RAP3
639,PTPN1
640,FXYD3
641,PCMTD1
642,RAB27A
643,HEXB
644,EEF1G
645,LMAN2
646,ACTN1
647,TRAF4
648,FBXW7
649,SMIM14
650,FBXL5
651,GLS
652,BLOC1S1
653,EPHX1
654,FBP1
655,SMURF2
656,C11orf96
657,THBS1
658,PKM
659,IL13RA1
660,TAF10
661,NR4A1
662,MARCKS
663,CD99
664,ECE1
665,POLR2A
666,PTMS
667,TMED4
668,SEPTIN9
669,FBLN1
670,ISCU
671,HIGD2A
672,MAF
673,TMEM63A
674,NCKAP1
675,SLC25A39
676,EGFL7
677,ANXA4
678,HOPX
679,ID3
680,TMCO1
681,FSTL1
682,PRRC2C
683,KLHDC2
684,MYO1B
685,CLK1
686,EXT1
687,PRDX2
688,TLN1
689,SPG21
690,HSD17B4
691,ITGA3
692,ARL6IP5
693,PPIB
694,TNFSF10
695,NRDC
696,TMEM248
697,ANKRD11
698,UBB
699,PRPF40A
700,RBL2
701,LMO7
702,EPS15
703,CUX1
704,TAP1
705,PPDPF
706,HIPK2
707,STT3A
708,NUDC
709,ARPC4
710,ATP2C1
711,SEC11C
712,NPTN
713,LIPA
714,PMPCB
715,ERRFI1
716,ETNK1
717,LAMB2
718,HNRNPDL
719,DRAP1
720,BCL2L1
721,TNFSF13
722,YPEL3
723,KDM5C
724,TRAPPC3
725,PALLD
726,NENF
727,AHSA1
728,ADGRF5
729,PYGB
730,SLC44A2
731,AGER
732,HNRNPL
733,CAPZB
734,HNRNPD
735,MAPKAPK2
736,GPCPD1
737,LTBP4
738,ANAPC11
739,COMT
740,FLOT2
741,BEX3
742,ARID5B
743,TXNL4A
744,RAB5B
745,SRSF4
746,PRMT2
747,ITPR2
748,EXOC7
749,ITGB6
750,SNU13
751,MGST3
752,PRPF6
753,CNOT8
754,RAB3GAP1
755,NFE2L2
756,C4orf3
757,CXCL16
758,JTB
759,G3BP2
760,SUMO2
761,MPV17
762,LRPPRC
763,SCGB3A1
764,FAM3C
765,RBM25
766,HSF1
767,DYNLT1
768,MFAP4
769,COX14
770,CITED2
771,SLC35F5
772,KTN1
773,S100A9
774,CD4
775,ASXL1
776,ATP2B4
777,ATP13A4
778,HSD17B11
779,CAB39
780,BCAM
781,IQGAP1
782,NDUFB5
783,GDI1
784,MYH10
785,TNS1
786,AZIN1
787,ARHGEF1
788,GPBP1L1
789,SBNO2
790,MAL2
791,ENSA
792,ARPC2
793,HOOK3
794,ATP5PD
795,SMAD2
796,PNN
797,KLC1
798,LUC7L2
799,NRP1
800,PDGFRB
801,ERO1A
802,TIAL1
803,NFE2L1
804,SDF4
805,TMBIM1
806,PSMB8
807,ALOX5
808,EIF4A2
809,QSOX1
810,ECHS1
811,SIVA1
812,EMP1
813,SOX4
814,VCAN
815,P4HB
816,SCD
817,IDS
818,GRK2
819,GGA2
820,DBNL
821,GNAI3
822,TC2N
823,RBM47
824,NPEPPS
825,BAZ1B
826,ECPAS
827,CAT
828,MROH1
829,FLII
830,NOP53
831,FBXW2
832,YPEL5
833,RABL6
834,RSRC2
835,CELF1
836,SEL1L
837,ZEB2
838,TNXB
839,CREG1
840,UHMK1
841,WASF2
842,SRRM1
843,HERPUD1
844,GAS6
845,TES
846,PUM2
847,TPD52L2
848,MAST4
849,LPP
850,CIITA
851,GNAI2
852,RB1CC1
853,NEK7
854,STX4
855,ARRB1
856,IFNGR1
857,ATF4
858,DNAJA2
859,PTBP3
860,SENP6
861,LRP10
862,ELL2
863,MS4A7
864,BRD4
865,FMNL2
866,SMARCC1
867,ACAA1
868,URI1
869,KIAA0100
870,SPINT1
871,TJP1
872,DDX24
873,NFIX
874,RAB34
875,NAA38
876,IGFBP5
877,PCM1
878,NDUFB10
879,COX7A2L
880,SLC3A2
881,BACH1
882,PHKB
883,API5
884,NCOR1
885,RNF10
886,ACBD3
887,WDR82
888,ADAM15
889,OSBPL9
890,PDE4D
891,PILRB
892,DOCK1
893,YTHDC1
894,RAP1A
895,APOC1
896,BSDC1
897,STK17B
898,VAMP3
899,PSMD13
900,ZFAND3
901,ST6GAL1
902,DKK3
903,GALNT10
904,HECTD1
905,TMED9
906,DIAPH1
907,FUCA1
908,PHC2
909,TAOK1
910,ARHGEF12
911,OAZ2
912,ZMYM2
913,TMEM259
914,NDUFB11
915,TPPP3
916,POLR1D
917,ODF3B
918,RNF181
919,CYTH1
920,RNH1
921,TAF7
922,PFDN2
923,SMARCA4
924,MDK
925,UQCRB
926,ABHD2
927,CCND3
928,CXCL17
929,LDB1
930,ANTXR1
931,CHMP3
932,EIF4H
933,SH3PXD2A
934,YWHAE
935,CAND1
936,ZMIZ2
937,STUB1
938,LAP3
939,CMIP
940,DEPP1
941,ZRANB2
942,MGAT1
943,BSG
944,BTF3L4
945,TRIM38
946,PPFIBP1
947,STARD10
948,RBM5
949,BCL3
950,NDUFV1
951,WLS
952,AURKAIP1
953,EMC10
954,ANXA6
955,TOB1
956,NDRG1
957,TXNDC11
958,PNRC2
959,FUBP1
960,AKR1B1
961,NDUFA3
962,TRIM27
963,TXNRD1
964,ARF6
965,TMEM176B
966,NNMT
967,COPB2
968,CCDC47
969,METTL26
970,EMC4
971,MYH14
972,CYBB
973,FNBP1
974,RAP2B
975,NDUFB7
976,STAG1
977,AKNA
978,AHCYL2
979,ARRB2
980,MAP2K2
981,RTN3
982,CHURC1
983,SRP54
984,DOCK4
985,CALM3
986,NOTCH3
987,AFF1
988,ADK
